year;tcbc;spi;region
2003;175;0,86202130965027890;BOUCLE DU MOUHOUN
2004;214;-1,89529696184611995;BOUCLE DU MOUHOUN
2005;140;-1,58690735616670375;BOUCLE DU MOUHOUN
2006;184;-0,12533859524434848;BOUCLE DU MOUHOUN
2007;206;-0,41842014260894789;BOUCLE DU MOUHOUN
2008;161;-0,73189745221977176;BOUCLE DU MOUHOUN
2009;218;0,07341245219946263;BOUCLE DU MOUHOUN
2010;190;1,18879104692630255;BOUCLE DU MOUHOUN
2011;239;-1,27198227459243540;BOUCLE DU MOUHOUN
2012;182;1,17696413352143070;BOUCLE DU MOUHOUN
2013;241;-0,42764101703802954;BOUCLE DU MOUHOUN
2014;258;-0,49228471675441376;BOUCLE DU MOUHOUN
2015;187;1,43165468089699210;BOUCLE DU MOUHOUN
2016;189;-0,04436185396764867;BOUCLE DU MOUHOUN
2017;184;-0,90668010501176077;BOUCLE DU MOUHOUN
2018;164;0,66902616812792304;BOUCLE DU MOUHOUN
2019;214;1,02147735613171253;BOUCLE DU MOUHOUN
2020;194;0,53148139952931506;BOUCLE DU MOUHOUN
2021;211;0,08583242261176426;BOUCLE DU MOUHOUN
2022;207;0,94561426523544811;BOUCLE DU MOUHOUN
2003;194;1,29787731021320529;CASCADES
2004;160;-0,90514174103033296;CASCADES
2005;98;-1,84491660040100958;CASCADES
2006;128;0,29404444760175874;CASCADES
2007;165;-0,73682175720288157;CASCADES
2008;115;0,29894991676998162;CASCADES
2009;149;-0,76214305920614267;CASCADES
2010;123;0,73175428775821405;CASCADES
2011;124;-0,78077948240758888;CASCADES
2012;138;-0,34974691812821307;CASCADES
2013;152;-0,31835595622094659;CASCADES
2014;142;0,64784928869862379;CASCADES
2015;117;0,09592663218740796;CASCADES
2016;101;0,20492646889643348;CASCADES
2017;116;-2,26146792215114312;CASCADES
2018;105;1,52746379268465304;CASCADES
2019;123;0,85974466951948081;CASCADES
2020;121;0,29618521699880962;CASCADES
2021;144;1,15713123724267408;CASCADES
2022;173;0,58509107205926014;CASCADES
2003;18;-0,15093253806158569;CENTRE
2004;18;-1,24980170980492811;CENTRE
2005;13;0,07203775439727096;CENTRE
2006;16;-2,28159986977109153;CENTRE
2007;14;-1,18777892132739815;CENTRE
2008;7;-0,72668554415492559;CENTRE
2009;12;1,04387945922182035;CENTRE
2010;11;0,39351415797955225;CENTRE
2011;14;-1,23050547102817909;CENTRE
2012;11;1,50656647384919884;CENTRE
2013;15;-0,56437284628565276;CENTRE
2014;13;0,08264599847718894;CENTRE
2015;17;0,48515885918905727;CENTRE
2016;13;1,04433161997048551;CENTRE
2017;12;-0,64447505781533865;CENTRE
2018;9;0,26861458024200302;CENTRE
2019;9;0,56808408793321719;CENTRE
2020;12;0,94032304452510906;CENTRE
2021;9;0,57403148082553868;CENTRE
2022;8;1,10536401008563923;CENTRE
2003;111;0,62620678576027733;CENTRE EST
2004;100;-0,69665509919692126;CENTRE EST
2005;107;-0,17411734852898020;CENTRE EST
2006;99;-1,57988713952138138;CENTRE EST
2007;91;0,12098291686063788;CENTRE EST
2008;68;-0,36637065058048829;CENTRE EST
2009;119;1,01931192043446051;CENTRE EST
2010;81;1,11486696824768394;CENTRE EST
2011;131;-0,44815180838754337;CENTRE EST
2012;104;0,21455893253173680;CENTRE EST
2013;103;-1,04412005879353154;CENTRE EST
2014;106;-1,50165707917033164;CENTRE EST
2015;158;0,59824575479353703;CENTRE EST
2016;69;0,22998982061614345;CENTRE EST
2017;113;-1,64662329595795653;CENTRE EST
2018;75;-0,18491551533433687;CENTRE EST
2019;95;1,97967731305165784;CENTRE EST
2020;92;1,20353925003383244;CENTRE EST
2021;93;0,34906662244612779;CENTRE EST
2022;79;0,23351520315402119;CENTRE EST
2003;86;1,55096932454577985;CENTRE NORD
2004;141;-2,22447729035547592;CENTRE NORD
